"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
02060,"Bristol Bay Borough, AK",1,Personal income (thousands of dollars),140031
02060,"Bristol Bay Borough, AK",2,Population (persons) 1,884
02060,"Bristol Bay Borough, AK",3,Per capita personal income (dollars) 2,158406
02063,"Chugach Census Area, AK*",1,Personal income (thousands of dollars),491535
02063,"Chugach Census Area, AK*",2,Population (persons) 1,6604
02063,"Chugach Census Area, AK*",3,Per capita personal income (dollars) 2,74430
02066,"Copper River Census Area, AK*",1,Personal income (thousands of dollars),169064
02066,"Copper River Census Area, AK*",2,Population (persons) 1,2631
02066,"Copper River Census Area, AK*",3,Per capita personal income (dollars) 2,64258
02068,"Denali Borough, AK*",1,Personal income (thousands of dollars),217890
02068,"Denali Borough, AK*",2,Population (persons) 1,1621
02068,"Denali Borough, AK*",3,Per capita personal income (dollars) 2,134417
02070,"Dillingham Census Area, AK*",1,Personal income (thousands of dollars),307997
02070,"Dillingham Census Area, AK*",2,Population (persons) 1,4642
02070,"Dillingham Census Area, AK*",3,Per capita personal income (dollars) 2,66350
02090,"Fairbanks North Star Borough, AK",1,Personal income (thousands of dollars),7139476
02090,"Fairbanks North Star Borough, AK",2,Population (persons) 1,94951
02090,"Fairbanks North Star Borough, AK",3,Per capita personal income (dollars) 2,75191
02100,"Haines Borough, AK*",1,Personal income (thousands of dollars),211953
02100,"Haines Borough, AK*",2,Population (persons) 1,2104
02100,"Haines Borough, AK*",3,Per capita personal income (dollars) 2,100738
02105,"Hoonah-Angoon Census Area, AK*",1,Personal income (thousands of dollars),180163
02105,"Hoonah-Angoon Census Area, AK*",2,Population (persons) 1,2312
02105,"Hoonah-Angoon Census Area, AK*",3,Per capita personal income (dollars) 2,77925
02110,"Juneau City and Borough, AK",1,Personal income (thousands of dollars),2806401
02110,"Juneau City and Borough, AK",2,Population (persons) 1,31572
02110,"Juneau City and Borough, AK",3,Per capita personal income (dollars) 2,88889
02122,"Kenai Peninsula Borough, AK*",1,Personal income (thousands of dollars),4130627
02122,"Kenai Peninsula Borough, AK*",2,Population (persons) 1,61259
02122,"Kenai Peninsula Borough, AK*",3,Per capita personal income (dollars) 2,67429
02130,"Ketchikan Gateway Borough, AK*",1,Personal income (thousands of dollars),1165919
02130,"Ketchikan Gateway Borough, AK*",2,Population (persons) 1,13677
02130,"Ketchikan Gateway Borough, AK*",3,Per capita personal income (dollars) 2,85247
02150,"Kodiak Island Borough, AK",1,Personal income (thousands of dollars),965329
02150,"Kodiak Island Borough, AK",2,Population (persons) 1,12654
02150,"Kodiak Island Borough, AK",3,Per capita personal income (dollars) 2,76286
02158,"Kusilvak Census Area, AK*",1,Personal income (thousands of dollars),300083
02158,"Kusilvak Census Area, AK*",2,Population (persons) 1,7946
02158,"Kusilvak Census Area, AK*",3,Per capita personal income (dollars) 2,37765
02164,"Lake and Peninsula Borough, AK*",1,Personal income (thousands of dollars),100647
02164,"Lake and Peninsula Borough, AK*",2,Population (persons) 1,1315
02164,"Lake and Peninsula Borough, AK*",3,Per capita personal income (dollars) 2,76538
02170,"Matanuska-Susitna Borough, AK",1,Personal income (thousands of dollars),7526568
02170,"Matanuska-Susitna Borough, AK",2,Population (persons) 1,117613
