"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2022,2023,2024
12033,"Escambia, FL",17268979,18396283,19615320
12035,"Flagler, FL",7626454,8417106,9123047
12037,"Franklin, FL",552891,585770,620193
12039,"Gadsden, FL",1948366,2124344,2239956
12041,"Gilchrist, FL",807612,880001,931416
12043,"Glades, FL",394693,425557,453674
12045,"Gulf, FL",748353,812558,855988
12047,"Hamilton, FL",466044,505982,540345
12049,"Hardee, FL",898356,962813,990401
12051,"Hendry, FL",1656811,1803155,1946756
12053,"Hernando, FL",9636265,10478066,11223896
12055,"Highlands, FL",4416320,4833620,5104616
12057,"Hillsborough, FL",91645506,100351757,107082073
12059,"Holmes, FL",762240,826498,872949
12061,"Indian River, FL",17007385,18859984,19866223
12063,"Jackson, FL",1889129,2037272,2115103
12065,"Jefferson, FL",735304,817593,868850
12067,"Lafayette, FL",268700,295075,329432
12069,"Lake, FL",21566597,23887162,25835269
12071,"Lee, FL",51887024,56880516,60550455
12073,"Leon, FL",16022231,17414167,18603875
12075,"Levy, FL",2021913,2229395,2356779
12077,"Liberty, FL",250320,274079,294396
12079,"Madison, FL",775179,828379,865213
12081,"Manatee, FL",26413521,29201044,31399341
12083,"Marion, FL",17829369,19719563,21144762
12085,"Martin, FL",17793937,19716198,20658019
12086,"Miami-Dade, FL",192276032,209804988,223009590
12087,"Monroe, FL",10080047,11287337,11954963
12089,"Nassau, FL",7457077,8174305,8712113
12091,"Okaloosa, FL",13012432,13878441,14601665
12093,"Okeechobee, FL",1633776,1761849,1864600
12095,"Orange, FL",83018907,90329831,96397948
12097,"Osceola, FL",19081012,21080602,22977761
12099,"Palm Beach, FL",171684239,190327521,200686833
12101,"Pasco, FL",32514839,35977854,38977656
12103,"Pinellas, FL",65872813,71650800,75615671
12105,"Polk, FL",34391385,37108799,39466269
12107,"Putnam, FL",3008115,3223538,3398765
12109,"St. Johns, FL",26223216,28969745,31174865
12111,"St. Lucie, FL",18567006,20610323,22256684
12113,"Santa Rosa, FL",11268014,12128774,13059828
12115,"Sarasota, FL",37917444,42323233,44847781
12117,"Seminole, FL",28709342,30796369,32510433
12119,"Sumter, FL",9797757,10995296,11821819
12121,"Suwannee, FL",1893328,2041981,2128383
12123,"Taylor, FL",778887,852680,840859
12125,"Union, FL",419143,455943,474589
12127,"Volusia, FL",30789247,33583299,35719516
12129,"Wakulla, FL",1706845,1893727,2049633
12131,"Walton, FL",7208386,7926353,8480756
12133,"Washington, FL",922799,993632,1059392
13001,"Appling, GA",814639,890658,944955
13003,"Atkinson, GA",309964,312967,338761
13005,"Bacon, GA",453100,470038,494784
13007,"Baker, GA",137600,134596,144534
13009,"Baldwin, GA",1896121,2024985,2134187
13011,"Banks, GA",871385,897987,981612
13013,"Barrow, GA",4314603,4615063,5000054
13015,"Bartow, GA",5559381,5882148,6269829
13017,"Ben Hill, GA",687749,724788,762721
13019,"Berrien, GA",747438,779510,813650
13021,"Bibb, GA",7292034,7668161,7994816
13023,"Bleckley, GA",512489,541484,568734
13025,"Brantley, GA",663522,673899,725148
13027,"Brooks, GA",653610,667925,705453
13029,"Bryan, GA",2824976,3008127,3280242
13031,"Bulloch, GA",3293242,3505507,3739726
13033,"Burke, GA",1033247,1038442,1077899
13035,"Butts, GA",1121717,1187888,1264538
13037,"Calhoun, GA",189396,199185,206946
13039,"Camden, GA",2546051,2713722,2882625
13043,"Candler, GA",441774,469829,497110
13045,"Carroll, GA",6220800,6516778,6996805
13047,"Catoosa, GA",3022256,3150984,3301761
13049,"Charlton, GA",403443,424927,451860
13051,"Chatham, GA",17149736,18266529,19354921
13053,"Chattahoochee, GA",331818,337847,354851
13055,"Chattooga, GA",922768,952564,998214
13057,"Cherokee, GA",19004971,20428667,21962386
13059,"Clarke, GA",5497699,5756379,6074983
13061,"Clay, GA",108518,112710,116899
13063,"Clayton, GA",10100331,10516753,11011251
13065,"Clinch, GA",292648,306878,325589
13067,"Cobb, GA",55651638,59184627,62674289
13069,"Coffee, GA",1699698,1752534,1865993
13071,"Colquitt, GA",1902534,1974851,2083256
13073,"Columbia, GA",9616599,10037426,10584970
13075,"Cook, GA",685821,716435,763091
13077,"Coweta, GA",9084625,9666367,10294894
13079,"Crawford, GA",496541,508010,539203
13081,"Crisp, GA",914988,963122,982755
13083,"Dade, GA",682913,715018,754915
13085,"Dawson, GA",1821821,1971151,2182961
13087,"Decatur, GA",1251326,1315048,1396615
13089,"DeKalb, GA",49530224,52203234,54981428
13091,"Dodge, GA",723754,786526,816780
13093,"Dooly, GA",480927,485768,489024
13095,"Dougherty, GA",3803096,3935614,4122850
13097,"Douglas, GA",6457356,6783734,7230131
13099,"Early, GA",462583,471333,486468
13101,"Echols, GA",123040,127321,133409
13103,"Effingham, GA",3376139,3626279,3922603
13105,"Elbert, GA",856555,887198,943689
13107,"Emanuel, GA",907334,973436,1018086
13109,"Evans, GA",432937,456916,493864
13111,"Fannin, GA",1319524,1400831,1499838
13113,"Fayette, GA",9008384,9580941,10153616
13115,"Floyd, GA",4403868,4692446,4903188
13117,"Forsyth, GA",21473351,23033338,24572896
13119,"Franklin, GA",1075077,1052708,1189135
13121,"Fulton, GA",108885951,115037511,121288829
13123,"Gilmer, GA",1488963,1548543,1708221
13125,"Glascock, GA",116545,125478,126265
13127,"Glynn, GA",5112504,5506719,5851353
13129,"Gordon, GA",2668897,2751170,2977562
13131,"Grady, GA",997260,1048318,1096765
13133,"Greene, GA",1617880,1739289,1852654
13135,"Gwinnett, GA",50595048,53765153,57512524
13137,"Habersham, GA",1923886,2012067,2181716
13139,"Hall, GA",12182640,13054489,13818399
13141,"Hancock, GA",305273,324134,339257
13143,"Haralson, GA",1414125,1485274,1586731
13145,"Harris, GA",2089700,2221376,2347907
13147,"Hart, GA",1244554,1307771,1425163
13149,"Heard, GA",481621,502255,536629
13151,"Henry, GA",11842687,12730057,13623572
13153,"Houston, GA",8234004,8702454,9216305
13155,"Irwin, GA",399857,415315,440757
13157,"Jackson, GA",4733738,5086660,5625016
13159,"Jasper, GA",753074,810232,877722
13161,"Jeff Davis, GA",558657,582171,624957
13163,"Jefferson, GA",649484,690151,705279
13165,"Jenkins, GA",317017,330594,354696
13167,"Johnson, GA",299216,324632,343637
13169,"Jones, GA",1257683,1334958,1403681
13171,"Lamar, GA",865221,926357,994711
13173,"Lanier, GA",348679,370042,386913
13175,"Laurens, GA",2145061,2309335,2449772
