admin_code,admin_level,region_name_en,region_name_ru,country_iso,federal_district,occupation_category,occupation_code,wage_value,currency,wage_period,wage_measure,survey_type,year,population,parent_admin_code,classification_system,data_availability,source,last_updated
19,1,Vologda Oblast,Вологодская область,RU,Northwestern,Total,,58939.2,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
19,1,Vologda Oblast,Вологодская область,RU,Northwestern,Total,,71493.1,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
19,1,Vologda Oblast,Вологодская область,RU,Northwestern,Total,,80996.7,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
27,1,Kaliningrad Oblast,Калининградская область,RU,Northwestern,Total,,54739,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
27,1,Kaliningrad Oblast,Калининградская область,RU,Northwestern,Total,,66607.5,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
27,1,Kaliningrad Oblast,Калининградская область,RU,Northwestern,Total,,78252.3,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
41,1,Leningrad Oblast,Ленинградская область,RU,Northwestern,Total,,68104.6,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
41,1,Leningrad Oblast,Ленинградская область,RU,Northwestern,Total,,82025.8,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2024,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
41,1,Leningrad Oblast,Ленинградская область,RU,Northwestern,Total,,96716.3,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2025,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
47,1,Murmansk Oblast,Мурманская область,RU,Northwestern,Total,,98818,RUB,monthly,average_monthly_nominal_accrued_wage,annual_regional_total,2023,,RU-FD-Northwestern,OKATO_FEDERAL_SUBJECT,federal_subject,https://rosstat.gov.ru/storage/mediabank/tab4-zpl-2025.xlsx,2026-07-29
